UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
020205,ANCASH,AIJA,SUCCHA,116338,Parac,PARAC,0,1,GP,0202050033,,0202050033,MED-GPS,2989,-77.69216138000,-9.84787355000,-9.84787354999997-77.69216138
020508,ANCASH,BOLOGNESI,HUALLANCA,237603,Jojan Pampa,JOJAN PAMPA,0,0,,,,,IGN,4139,-77.00026676000,-9.75441152000,-9.75441151999996-77.00026676
020204,ANCASH,AIJA,LA MERCED,620399,San Francisco De Rurimarac,SAN FRANCISCO DE RURIMARAC,0,1,GIP,0202010007,,0202010007,MED-GPS,3440,-77.64111599000,-9.75377289000,-9.75377288999994-77.6411159899999
101106,HUANUCO,YAROWILCA,OBAS,515244,Chacpa,CHACPA,0,0,,1011060008,,1011060008,IGN,3629,-76.66941289000,-9.75427465000,-9.75427464999996-76.66941289
100321,HUANUCO,DOS DE MAYO,SHUNQUI,125996,Cochapata,COCHAPATA,0,1,IPS,1003210029,,1003210029,MED-GPS,3796,-76.82319448000,-9.75419447000,-9.75419446999996-76.82319448
020104,ANCASH,HUARAZ,HUANCHAY,611005,Mal Paso,MAL PASO,0,0,,0201040051,,0201040051,INEI,996,-77.91892166700,-9.75508666700,-9.75508666699994-77.918921667
101107,HUANUCO,YAROWILCA,PAMPAMARCA,545873,Matasahuay,MATASAHUAY,0,0,,,,,IGN,3524,-76.73048901000,-9.75399140000,-9.75399139999996-76.73048901
100321,HUANUCO,DOS DE MAYO,SHUNQUI,520794,Puquio,PUQUIO,0,1,P,1003210026,,1003210026,MED-GPS,3412,-76.79836182000,-9.75392051000,-9.75392050999994-76.79836182
020202,ANCASH,AIJA,CORIS,537625,Ichic Huashcu,ICHIC HUASHCU,0,0,,0202020008,,0202020008,IGN,4172,-77.73501915000,-9.75391041000,-9.75391040999995-77.73501915
101104,HUANUCO,YAROWILCA,APARICIO POMARES,243471,Tunahuain,TUNAHUAIN,0,1,GP,1011040034,,1011040034,IGN,3628,-76.63764302000,-9.75380691000,-9.75380690999998-76.63764302
101106,HUANUCO,YAROWILCA,OBAS,548082,Piruro Pampa,PIRURO PAMPA,0,0,,1011060009,,1011060009,IGN,3765,-76.67431890000,-9.75375502000,-9.75375501999997-76.6743188999999
100802,HUANUCO,PACHITEA,CHAGLLA,617930,Belen,BELEN,0,0,,1008020016,,1008020016,INEI,2555,-75.72848448100,-9.73799810000,-9.73799809999997-75.728484481
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,522590,Santa Isabel,SANTA ISABEL,0,1,GPS,1001090015,,1001090015,MED-GPS,3608,-76.33546616000,-9.75336593000,-9.75336592999997-76.33546616
100802,HUANUCO,PACHITEA,CHAGLLA,532133,Vista Alegre,VISTA ALEGRE,0,0,,1008020013,,1008020013,IGN,1848,-75.78548140000,-9.75327703000,-9.75327702999994-75.7854814
020204,ANCASH,AIJA,LA MERCED,528478,Quihuan,QUIHUAN,0,1,I,0202040061,,0202040061,MED-GPS,3367,-77.61733126000,-9.75710089000,-9.75710088999995-77.61733126
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,542230,Cedrio,CEDRIO,0,1,G,1001090014,,1001090014,IGN,3574,-76.32010977000,-9.75306765000,-9.75306764999993-76.32010977
100313,HUANUCO,DOS DE MAYO,PACHAS,535307,Seccha,SECCHA,0,0,,,,,IGN,3896,-76.89135103000,-9.75280952000,-9.75280951999997-76.89135103
100321,HUANUCO,DOS DE MAYO,SHUNQUI,230994,Patapata,PATAPATA,0,0,,,,,IGN,3634,-76.81713902000,-9.75277040000,-9.75277039999997-76.81713902
100804,HUANUCO,PACHITEA,UMARI,220046,Pavina,PAVINA,0,1,IP,1008040004,,1008040004,MED-GPS,2210,-76.04578276000,-9.84450281000,-9.84450280999994-76.04578276
101101,HUANUCO,YAROWILCA,CHAVINILLO,240034,Dos Aguas,DOS AGUAS,0,1,IP,1011010076,,1011010076,MED-GPS,3650,-76.59209321000,-9.84446605000,-9.84446604999994-76.59209321
101107,HUANUCO,YAROWILCA,PAMPAMARCA,111506,Vinchos,VINCHOS,0,0,,1011070061,,1011070061,IGN,3963,-76.73380439000,-9.84444303000,-9.84444302999998-76.73380439
100301,HUANUCO,DOS DE MAYO,LA UNION,537581,Curayacu,CURAYACU,0,0,,,,,IGN,3366,-76.80828165000,-9.84433077000,-9.84433076999994-76.80828165
101102,HUANUCO,YAROWILCA,CAHUAC,538630,Pariagaga,PARIAGAGA,0,0,,1011020004,,1011020004,IGN,3458,-76.64221978000,-9.84417465000,-9.84417464999996-76.6422197799999
100804,HUANUCO,PACHITEA,UMARI,626928,Dos Posos Willca,DOS POSOS WILLCA,0,1,GP,1008040010,,1008040010,PROVIAS,3045,-75.98805430000,-9.85213555000,-9.85213554999996-75.9880543
